cluster_id,risk_score,action,top_reasons,cluster_size,total_bonus_at_stake,policy_version,timestamp
comp_0,1.0,BLOCK_BONUS,"[{'feature': 'instrument_reuse_ratio', 'value': 0.997, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 14.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 13.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.857, 'model_importance': 0.0581}]",14,2961.35826111563,1.0-autonomous,1788444323.6188498
comp_1,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.048, 'model_importance': 0.0581}]",1,503.3883078205862,1.0-autonomous,1788444323.6305313
comp_10,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.263, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 5.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 4.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",5,1296.945665553576,1.0-autonomous,1788444323.634885
comp_100,1.0,BLOCK_BONUS,"[{'feature': 'instrument_reuse_ratio', 'value': 0.694, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 9.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 8.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.524, 'model_importance': 0.0581}]",9,2716.0395712143554,1.0-autonomous,1788444323.6410573
comp_1000,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.171, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,234.46307918805013,1.0-autonomous,1788444323.644968
comp_1001,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.012, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,181.9332829395001,1.0-autonomous,1788444323.6509278
comp_1002,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.01, 'model_importance': 0.0581}]",1,505.0016984168616,1.0-autonomous,1788444323.6530266
comp_1003,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.021, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.214, 'model_importance': 0.0581}]",1,51.68932354180342,1.0-autonomous,1788444323.6561792
comp_1004,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.057, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 2.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 1.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",2,697.5439934387213,1.0-autonomous,1788444323.6627333
comp_1005,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.004, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,314.3506810968965,1.0-autonomous,1788444323.6627333
comp_1006,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.078, 'model_importance': 0.0581}]",1,197.7057097940042,1.0-autonomous,1788444323.6715817
comp_1007,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.057, 'model_importance': 0.0581}]",1,144.9020800447509,1.0-autonomous,1788444323.6754775
comp_1008,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.076, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.017, 'model_importance': 0.0581}]",1,247.4743091265701,1.0-autonomous,1788444323.6840723
comp_1009,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,311.6608676394443,1.0-autonomous,1788444323.690933
comp_101,1.0,BLOCK_BONUS,"[{'feature': 'instrument_reuse_ratio', 'value': 0.714, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 7.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 6.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.852, 'model_importance': 0.0581}]",7,1259.5244394198687,1.0-autonomous,1788444323.6989007
comp_1010,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 3.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 2.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.111, 'model_importance': 0.0581}]",3,769.2181416023171,1.0-autonomous,1788444323.7037265
comp_1011,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,235.4137336374248,1.0-autonomous,1788444323.7101693
comp_1012,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.11, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,89.70535997146546,1.0-autonomous,1788444323.7162557
comp_1013,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.0, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,134.56630853407393,1.0-autonomous,1788444323.721713
comp_1014,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.112, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 6.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 5.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.127, 'model_importance': 0.0581}]",6,1165.9067539091234,1.0-autonomous,1788444323.7298357
comp_1015,1.0,BLOCK_BONUS,"[{'feature': 'instrument_reuse_ratio', 'value': 0.795, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 13.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 12.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.628, 'model_importance': 0.0581}]",13,3876.2564443017222,1.0-autonomous,1788444323.7368271
comp_1016,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.081, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 1.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 0.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",1,431.5004065275997,1.0-autonomous,1788444323.7403934
comp_1017,0.0,RELEASE,"[{'feature': 'instrument_reuse_ratio', 'value': 0.33, 'model_importance': 0.3574}, {'feature': 'cluster_size', 'value': 5.0, 'model_importance': 0.2892}, {'feature': 'n_referral_edges', 'value': 4.0, 'model_importance': 0.2081}, {'feature': 'device_reuse_ratio', 'value': 0.0, 'model_importance': 0.0581}]",5,939.3961033338668,1.0-autonomous,1788444323.7494714
